id,DistSim,GranSim,LevSim
228,0.00,0.20,0.11
229,0.00,0.20,0.16
230,0.00,0.33,0.07
231,0.00,0.20,0.28
232,0.00,0.20,0.14
233,0.00,0.20,0.14
234,0.00,0.20,0.00
235,0.00,0.25,0.11
236,0.00,0.20,0.08
237,0.00,0.20,0.14
238,0.00,0.20,0.44
239,0.00,0.16,0.23
240,0.00,0.16,0.07
241,0.00,0.20,0.23
242,0.00,0.20,0.30
243,0.08,0.83,0.30
244,0.00,0.33,0.17
245,0.00,0.60,0.38
246,0.00,0.20,0.26
247,0.00,0.50,0.17
248,0.00,0.50,0.17
249,0.00,0.25,0.26
250,0.00,0.20,0.13
251,0.00,0.50,0.26
252,0.00,0.60,0.26
253,0.82,0.50,0.33
254,0.00,0.16,0.20
255,0.00,0.20,0.21
256,0.00,0.60,0.20
257,0.00,0.16,0.66
258,0.00,0.33,0.15
259,0.00,0.20,0.40
260,0.00,0.20,0.30
261,0.00,0.16,0.14
262,0.00,0.16,0.16
263,0.00,0.75,0.33
264,0.00,0.20,0.25
265,0.00,0.16,0.42
266,0.00,0.20,0.26
267,0.00,0.50,0.23
268,0.00,0.16,0.07
269,0.00,0.20,0.28
270,0.00,0.60,0.23
271,0.00,0.16,0.23
272,0.00,0.33,0.07
273,0.00,0.20,0.30
274,0.00,0.20,0.15
275,0.00,0.16,0.28
276,0.00,0.16,0.28
277,0.00,0.75,0.21
278,0.00,0.20,0.28
279,0.00,0.16,0.30
280,0.00,0.20,0.23
281,0.00,0.50,0.25
282,0.00,0.16,0.00
283,0.00,0.20,0.31
284,0.00,0.60,0.15
285,0.00,0.16,0.30
286,0.00,0.33,0.15
287,0.00,0.20,0.50
288,0.00,0.20,0.09
289,0.00,0.16,0.20
290,0.00,0.16,0.18
291,0.00,0.75,0.23
292,0.00,0.20,0.07
293,0.00,0.16,0.30
294,0.00,0.20,0.23
295,0.00,0.50,0.19
296,0.00,0.16,0.09
297,0.00,0.20,0.14
298,0.00,0.60,0.18
299,0.00,0.16,0.27
300,0.00,0.33,0.15
301,0.00,0.20,0.18
302,0.00,0.20,0.14
303,0.00,0.16,0.18
304,0.00,0.16,0.18
305,0.00,0.75,0.36
306,0.00,0.20,0.08
307,0.00,0.16,0.09
308,0.00,0.20,0.20
309,0.00,0.16,0.25
310,0.00,0.16,0.12
311,0.00,0.20,0.40
312,0.00,0.20,0.41
313,1.00,1.00,1.00
314,0.00,0.33,0.38
315,0.00,0.60,0.33
316,0.00,0.20,0.33
317,0.00,0.50,0.22
318,0.00,0.50,0.54
319,0.00,0.25,0.40
320,0.00,0.20,0.33
321,0.00,0.50,0.42
322,0.00,0.60,0.46
323,0.00,0.16,0.20
324,0.00,0.16,0.00
325,0.00,0.20,0.33
326,0.00,0.20,0.11
327,0.00,0.66,0.33
328,0.00,0.33,0.15
329,0.00,0.60,0.40
330,0.00,0.20,0.25
331,0.00,0.50,0.37
332,0.00,0.50,0.28
333,0.00,0.25,0.42
334,0.00,0.20,0.20
335,0.00,0.42,0.40
336,0.00,0.60,0.30
337,0.00,0.20,0.21
338,0.00,0.40,0.12
339,0.00,0.40,0.33
340,0.00,0.20,0.11
341,0.00,0.20,0.21
342,0.00,0.33,0.15
343,0.00,0.20,0.25
344,0.00,0.40,0.21
345,0.00,0.20,0.37
346,0.00,0.20,0.16
347,0.00,0.25,0.28
348,0.00,0.60,0.35
349,0.00,0.20,0.50
350,0.00,0.20,0.30
351,0.00,0.16,0.29
352,0.00,0.16,0.12
353,0.00,0.20,0.33
354,0.00,0.20,0.11
355,0.00,0.50,0.50
356,0.00,0.33,0.23
357,0.00,0.60,0.37
358,0.00,0.20,0.25
359,0.00,0.50,0.28
360,0.00,0.50,0.27
361,0.00,0.25,0.33
362,0.00,0.20,0.25
363,0.00,0.50,0.42
364,0.00,0.60,0.22
365,0.00,0.20,0.37
366,0.00,0.40,0.00
367,0.00,0.40,0.28
368,0.00,0.20,0.00
369,0.00,0.20,0.35
370,0.00,0.33,0.23
371,0.00,0.20,0.37
372,0.00,0.40,0.25
373,0.00,0.20,0.15
374,0.00,0.20,0.28
375,0.00,0.25,0.33
376,0.00,0.40,0.28
377,0.00,0.20,0.50
378,0.00,0.20,0.35
379,0.00,0.25,0.33
380,0.00,0.50,0.12
381,0.00,0.50,0.28
382,0.00,0.25,0.22
383,0.00,0.25,0.40
384,0.00,0.33,0.15
385,0.00,0.25,0.37
386,0.00,0.50,0.30
387,0.00,0.25,0.42
388,0.00,0.25,0.18
389,0.00,0.25,0.50
390,0.00,0.75,0.46
391,0.00,0.25,0.61
392,0.00,0.25,0.27
393,0.00,0.25,0.40
394,0.00,0.25,0.25
395,0.00,0.25,0.42
396,0.00,0.25,0.11
397,0.00,0.25,0.44
398,0.00,0.33,0.23
399,0.00,0.25,0.40
400,0.00,0.25,0.45
401,0.00,0.25,0.28
402,0.00,0.25,0.36
403,0.00,0.25,0.28
404,0.00,0.25,0.30
405,0.00,0.25,0.45
