DistSim,LevSim,Match
0,0.166666667,0
0,0,0
0,0.384615385,0
0,0.230769231,0
0,0.153846154,0
0,0.25,0
0,0.3,0
0,0.078431373,0
0,0.166666667,0
0,0.137254902,0
0,0.333333333,0
0,0.333333333,0
0,0.333333333,0
0,0.333333333,0
0,0.105263158,0
0,0,0
0,0.166666667,0
0,0.333333333,0
0,0.375,0
0,0.125,0
0,0,0
0,0.235294118,0
0,0.05,0
0,0.133333333,0
0,0.2,0
0,0.571428571,0
0,0.314285714,0
0,0.25,0
0,0.181818182,0
0,0.466666667,0
0,0.294117647,0
0,0.1,0
0,0.210526316,0
0,0.333333333,0
0,0.272727273,0
0,0.133333333,0
0,0,0
0,0.222222222,0
0,0.307692308,0
0,0.25,0
0,0.285714286,0
0,0.210526316,0
0,0,0
0,0.266666667,0
0,0.25,0
0,0.285714286,0
0,0.333333333,0
0,0.222222222,0
0,0.173913043,0
0,0.40625,0
0,0.176470588,0
0,0.315789474,0
0,0.166666667,0
0,0.333333333,0
0,0.078431373,0
0,0.3,0
0,0.3,0
0,0.235294118,0
0,0.125,0
0,0.444444444,0
0,0.363636364,0
0.04,0.333333333,0
0,0.272727273,0
0,0.388888889,0
0,0.333333333,0
0,0.28,0
0,0.133333333,0
0,0.192307692,0
0,0.357142857,0
0,0.166666667,0
0,0.714285714,0
0,0.111111111,0
0,0.142857143,0
0,0.214285714,0
0,0,0
0.24,0.210526316,0
0,0,0
0,0.363636364,0
0,0.209302326,0
0,0.368421053,0
0,0.25,0
0.04,0.1,0
0,0.333333333,0
0,0.111111111,0
0,0,0
0,0.142857143,0
0,0.090909091,0
0,0.444444444,0
0,0.214285714,0
0,0.3125,0
0,0.222222222,0
0,0,0
0,0.066666667,0
0,0.3,0
0,0.4,0
0,0.333333333,0
0,0.222222222,0
0,0.111111111,0
0,0.272727273,0
0,0.277777778,0
0,0.166666667,0
0,0.263157895,0
0,0.1,0
0,0.111111111,0
0,0.5,0
0,0.363636364,0
0,0.25,0
0,0.25,0
0,0.181818182,0
0,0.333333333,0
0,0.571428571,0
0,0.263157895,0
0,0.277777778,0
0,0.166666667,0
0,0.3125,0
0,0.272727273,0
0,0.571428571,0
0,0.363636364,0
0,0.272727273,0
0,0.333333333,0
0,0.083333333,0
0,0.2,0
0,0.117647059,0
0,0.272727273,0
0,0.333333333,0
0,0.227272727,0
0,0.4,0
0,0.4375,0
0,0.142857143,0
0,0.375,0
0,0.142857143,0
0,0.307692308,0
0,0.185185185,0
0,0,0
0,0.263157895,0
0,0.25,0
0,0.5,0
0,0.375,0
